ID,Name,Type,Category,Pricing Model,Price (INR),,Price (USD),Tax Rate,Tax Included,SKU,HSN Code,SAC Code,Billing Cycle,Unit,Min Quantity,Max Quantity,Domain,Subscription Frequency,Subscription Year,Subscription Mode,Tags,Notes,Is Featured,Created At,Updated At,Status
,Research & Reviews : Journal of Computational Biology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjocb-P,,,ONE_TIME,unit,1,,Bio Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : A Journal of Biotechnology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjobt-P,,,ONE_TIME,unit,1,,Bio Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Cell Biology and Cellular Functions (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijcbcf-P,,,ONE_TIME,unit,1,,Bio Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Molecular Biotechnological Research (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijmbr-P,,,ONE_TIME,unit,1,,Bio Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Biochemistry and Biomolecule Research (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijbbr-P,,,ONE_TIME,unit,1,,Bio Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Bioinformatics and Computational Biology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijbcb-P,,,ONE_TIME,unit,1,,Bio Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Genetic Modifications and Recombinations (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijgmr-P,,,ONE_TIME,unit,1,,Bio Technology,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Modern Chemistry & Chemical Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jomcct-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Polymer and Composites (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jopc-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Materials & Metallurgical Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jomme-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Petroleum Engineering & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jopet-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Emerging Trends in Chemical Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,etce-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Catalyst & Catalysis (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jocc-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of Thin Films, Coating Science Technology & Application (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jotcsta-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Pollution: Prevention & Control (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijppc-P,,,ONE_TIME,unit,1,,Chemical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Crystalline Materials (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijcm-P,,,ONE_TIME,unit,1,,Chemistry,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Mineral (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijmi-P,,,ONE_TIME,unit,1,,Chemistry,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Cheminformatics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijci-P,,,ONE_TIME,unit,1,,Chemistry,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Photochemistry and Photochemical Research (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijppr-P,,,ONE_TIME,unit,1,,Chemistry,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Advance in Molecular Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijame-P,,,ONE_TIME,unit,1,,Chemistry,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Trends in Transport Engineering and Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,ttea-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Structural Engineering and Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,josem-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Water Resource Engineering and Management (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jowrem-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Civil Engineering & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rtcet-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of Construction Engineering, Technology & Management (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jocetm-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Industrial Safety Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joise-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Offshore Structure and Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joost-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Geotechnical Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joge-P,,,ONE_TIME,unit,1,,Civil/Construction Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,E-Commerce for Future & Trends (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,ecft-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Advanced Database Management & Systems (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joadms-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Advancements in Robotics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joarb-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Advances in Shell Programming (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joasp-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Artificial Intelligence Research & Advances (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joaira-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Computer Technology & Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jocta-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Image Processing & Pattern Recognition Progress (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joipprp-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of Mobile Computing, Communications & Mobile Networks (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jomccmn-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Multimedia Technology & Recent Advancements (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jomtra-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Open Source Developments (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joosd-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Operating Systems Development & Trends (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joosdt-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Software Engineering Tools & Technology Trends (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,josettt-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Web Engineering & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jowet-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Parallel Computing (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rtpc-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Programming languages (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rtpl-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Current Trends in Information Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,ctit-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal Of Network security (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jons-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Communication Engineering & Systems (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joces-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Algorithms Design and Analysis Review (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijadar-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Information Security Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijise-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Computer Science Languages (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijcsl-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Mobile Computing Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijmct-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Wireless Security and Networks (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijwsn-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Data Structure Studies (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijdss-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: A Journal of Embedded System & Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjoesa-P,,,ONE_TIME,unit,1,,Computer/IT,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Climate Conditions (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijcc-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Education Sciences (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijes-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Sports (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,rts-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Emerging Trends in Languages (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,etl-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Behavioral Sciences (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijbsc-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Children (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijc-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Trends in Humanities (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijth-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Social Studies (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,rtss-P,,,ONE_TIME,unit,1,,Education and Social Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Power Electronics and Power Systems (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jopeps-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Trends in Electrical Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,tee-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Control & Instrumentation (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joci-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of VLSI Design Tools and Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jovdtt-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Electrical Power and Machine Systems (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijepms-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Electrical Machine Analysis and Design (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijemad-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Electrical and Communication Engineering Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijecet-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Advanced Control and System Engineering (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijacse-P,,,ONE_TIME,unit,1,,Electrical Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Instrumentation Technology & Innovations (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joiti-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Electronic Design Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joedt-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Current Trends in Signal Processing (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,ctsp-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Trends in Opto-electro & Optical Communication (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,toeoc-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Semiconductor Devices and Circuits (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,josdc-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Microelectronics and Solid State Devices (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jomssd-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Electronics Communication Systems (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rtecs-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Microcontroller Engineering and Applications (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jomea-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Microwave Engineering and Technologies (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jomet-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of Telecommunication, Switching Systems and Networks (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,jotssn-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Sensor Research & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rtsrt-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Radio Frequency Innovations (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijrfi-P,,,ONE_TIME,unit,1,,Electronics & Telecommunication Engineering,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
