Name,Code,Type,Category,Email,Phone,Website,Country,State,City,IP Range,Total Students,Total Faculty,Customer Count,Sub Count
"Allied Publishers Subscription Agency,Mumbai",,AGENCY,Agency,mumbai.journals@alliedpublishrs.com,(22) 4212 6930 / 31 / 69,N/A,India,Maharstra,N/A,N/A,0,0,0,0
"Allied Publishers Subscription Agency,Nagpur",,AGENCY,Agency,ngp.journals@alliedpublishers.com,0712-22342101,N/A,India,Maharstra,N/A,N/A,0,0,0,0
Allied Publishers Subscription Agency-A.P,,AGENCY,Agency,hyd.journals@alliedpublishers.com,040-024619212,N/A,India,Andhra Pradesh,N/A,N/A,0,0,0,0
Allied Publishers Subscription Agency-Noida,,AGENCY,Agency,delhi.journals@alliedpublishers.com,0120-4352866,N/A,India,UP,N/A,N/A,0,0,0,0
Alpha Book Co.,,AGENCY,Agency,alphabookcoahmedabad@gmail.com,9898400431,N/A,India,Gujrat,N/A,N/A,0,0,0,0
Alphabet Books,,AGENCY,Agency,alphabetbooks.kolkata@gmail.com,"033 -22410201 , +91 9831213083",N/A,India,WB,N/A,N/A,0,0,0,0
Ananda Publishers,,AGENCY,Agency,sumanta.lcd@gmail.com,9800574041/8327007677/9832743551,N/A,India,WB,N/A,N/A,0,0,0,0
Anmaks Subscriptions And Publication Pvt. Ltd,,AGENCY,Agency,contact@anmaksubs.com,"9717718005, 7065969720",N/A,India,Delhi,N/A,N/A,0,0,0,0
Ao Enterprises,,AGENCY,Agency,ao.enterprises.16@gmail.com,8169576404,N/A,India,Maharstra,N/A,N/A,0,0,0,0
Apex Subscription Pvt. Ltd.,,AGENCY,Agency,"info@apexsubs.com,orders@apexsubs.com,enquiry@apex",022-28413114/26853114/26853115,N/A,India,Maharstra,N/A,N/A,0,0,0,0
Arista Publishers,,AGENCY,Agency,aristabackend@gmail.com,7053377499,N/A,India,Delhi,N/A,N/A,0,0,0,0
Arora Books,,AGENCY,Agency,NA,6284574430,N/A,India,Haryana,N/A,N/A,0,0,0,0
Arvind Prakashan,,AGENCY,Agency,arvindprakashan@hotmail.com,01412329672 / 9414248106,N/A,India,Rajasthan,N/A,N/A,0,0,0,0
Aryas Publishers Distributors Pvt Ltd,,AGENCY,Agency,apdpl.2012@gmail.com,"0294-2421087, 9351685460",N/A,India,Rajasthan,N/A,N/A,0,0,0,0
Ashta Book Agency,,AGENCY,Agency,asthabokagency@yahoo.com,26466914,N/A,India,Gujrat,N/A,N/A,0,0,0,0
Asian Scientific World,,AGENCY,Agency,asianscientificworld@gmail.com,9039469327,N/A,India,Chhatishgarh,N/A,N/A,0,0,0,0
Athenaeum Solutions Pvt. Ltd.,,AGENCY,Agency,"athenaeumsolutions@gmail.com, info@athenaeumsolut",9769245636,N/A,India,Maharstra,N/A,N/A,0,0,0,0
Aura Impex,,AGENCY,Agency,aura.impex@live.com,,N/A,India,Rajasthan,N/A,N/A,0,0,0,0
Avags Information Systems,,AGENCY,Agency,claims.avags@gmail.com,"011-65291071, 9899861281",N/A,India,Delhi,N/A,N/A,0,0,0,0
B & B Publishers & Distributor,,AGENCY,Agency,booksandbooks10@gmail.com,8638852729,N/A,India,,N/A,N/A,0,0,0,0
B. Venugopal Subscription Agency,,AGENCY,Agency,b_venu77@yahoo.com,040-27136071,N/A,India,Telagana,N/A,N/A,0,0,0,0
B.Bros & Co.,,AGENCY,Agency,bbrothersco@yahoo.com,033-40729541,N/A,India,WB,N/A,N/A,0,0,0,0
Bansal Book Distributor,,AGENCY,Agency,bansalbooks@yahoo.com,9891085589/9990248137,N/A,India,UP,N/A,N/A,0,0,0,0
Baroda Book Corporation,,AGENCY,Agency,"bbcorp@sify.com,bbcorpo@gmail.com",0265-2358736,N/A,India,Gujrat,N/A,N/A,0,0,0,0
Best Book Suppliers,,AGENCY,Agency,bestbooksuppliers@gmail.com,Mob—8983998998,N/A,India,Maharstra,N/A,N/A,0,0,0,0
Bhalani Publishing House,,AGENCY,Agency,delhi@bhalani.com,011-23278312,N/A,India,Delhi,N/A,N/A,0,0,0,0
Bharat Books & Journals Agency,,AGENCY,Agency,vsdsjournals@gmail.com,"9830026292, 033-40630126",N/A,India,WB,N/A,N/A,0,0,0,0
Bharat Books Emporium,,AGENCY,Agency,bharatbooks@yahoo.co.in,9337335744,N/A,India,odisha,N/A,N/A,0,0,0,0
"Bharat Books Emporium,Odisha",,AGENCY,Agency,bharatbooks@yahoo.co.in,93373 35744,N/A,India,odisha,N/A,N/A,0,0,0,0
Bharathi Publication,,AGENCY,Agency,infobharathipublication@gmail.com,080-23224222,N/A,India,Karnataka,N/A,N/A,0,0,0,0
Blue Planet Books,,AGENCY,Agency,orders.shantipublication@gmail.com,044 43568379,N/A,India,Tamilnaidu,N/A,N/A,0,0,0,0
Bms Books & Periodicals Co.,,AGENCY,Agency,bmsbooksandperiodicals@gmail.com,8467004166 / 7042503398,N/A,India,Delhi,N/A,N/A,0,0,0,0
Bombay Books And Periodicals Service,,AGENCY,Agency,bombaybooks@gmail.com,Mob- 9892392665//02226460649,N/A,India,Maharstra,N/A,N/A,0,0,0,0
Book Heaven,,AGENCY,Agency,,"8989536610, 9893146919, 8871556862",N/A,India,MP,N/A,N/A,0,0,0,0
Book Space,,AGENCY,Agency,bookspace06@gmail.com,9422007110,N/A,India,Maharstra,N/A,N/A,0,0,0,0
Books And E Book,,AGENCY,Agency,booksande_books@yahoo.com,9469-318791,N/A,India,,N/A,N/A,0,0,0,0
Books For All,,AGENCY,Agency,NA,"0562-4008061, 9897877556",N/A,India,UP,N/A,N/A,0,0,0,0
Booksellers Of India,,AGENCY,Agency,"booksellersofindia@gmail.com, tusharboi2014@gmail.","Tel.: 011-22041687, 9953763041, 8377098382",N/A,India,Delhi,N/A,N/A,0,0,0,0
C M Traders,,AGENCY,Agency,cmtraders2009@gmail.com,"02774-242801,9173074106",N/A,India,Gujrat,N/A,N/A,0,0,0,0
Central News Agency Private Limited,,AGENCY,Agency,"subs@cna.co.in, eresources@cna.co.in,feedback@cna.co.in lc@cna.co.in ",011-41541111,N/A,India,,N/A,N/A,0,0,0,0
Collect Subscription Agency,,AGENCY,Agency,csaperiodicals@gmail.com,#ERROR!,N/A,India,,N/A,N/A,0,0,0,0
Consortium Books Pvt Ltd-Daryaganj,,AGENCY,Agency,consortiumbooks@gmail.com,"91-9717546688,8853519361",N/A,India,,N/A,N/A,0,0,0,0
Consortium Subscriptions (P) Ltd.,,AGENCY,Agency,journal.cspl@gmail.com,9076651709,N/A,India,,N/A,N/A,0,0,0,0
Cr Subscription Agency,,AGENCY,Agency,info@crsubscription.com,9319250822,N/A,India,,N/A,N/A,0,0,0,0
Creative Books & Periodicals Pvt. Ltd,,AGENCY,Agency,info@creatjournals.com,022-22043342/22047895,N/A,India,,N/A,N/A,0,0,0,0
Crown Books & Journals,,AGENCY,Agency,sales@crownbooksjournals.com,9235132398,N/A,India,,N/A,N/A,0,0,0,0
Crystal Books & Periodicals,,AGENCY,Agency,,9820094226,N/A,India,,N/A,N/A,0,0,0,0
D K Book Point,,AGENCY,Agency,sales@dkbookpoint.in,917008823131,N/A,India,,N/A,N/A,0,0,0,0
D.K. Agencies (P) Ltd.,,AGENCY,Agency,pubrel@dkagencies.com,Ph: (011) 25357104/05,N/A,India,,N/A,N/A,0,0,0,0
D.S. Subscription Agency,,AGENCY,Agency,dssubagency@gmail.com,Tel No. 00 91 532 2560866,N/A,India,,N/A,N/A,0,0,0,0
Deepika Book Agency,,AGENCY,Agency,"deepika_book_agency@yahoo.in,deepikabook@yahoo.in","011-27834777,9015430597",N/A,India,,N/A,N/A,0,0,0,0
Dinesh Book Distributors,,AGENCY,Agency,agrawalbooks@rediffmail.com,8338035635,N/A,India,,N/A,N/A,0,0,0,0
Discount Book Stores,,AGENCY,Agency,discountbookstores@gmail.com,9076584899,N/A,India,,N/A,N/A,0,0,0,0
Dk Books & Periodicals,,AGENCY,Agency,dkbp.orissa@gmail.com,9437859715,N/A,India,,N/A,N/A,0,0,0,0
Ds Information Services Pvt. Ltd.,,AGENCY,Agency,dsisplknp@gmail.com,"9415127925, 05122600795",N/A,India,,N/A,N/A,0,0,0,0
Dynamic Publication,,AGENCY,Agency,dynamic_pal123@yahoo.co.in,9810302712,N/A,India,,N/A,N/A,0,0,0,0
E M Balaji & Co,,AGENCY,Agency,ilhglobal15@gmail.com,#ERROR!,N/A,India,,N/A,N/A,0,0,0,0
Eastern Book House,,AGENCY,Agency,easternbookhouse@gmail.com,7727935884,N/A,India,,N/A,N/A,0,0,0,0
Ebsco Subscription Services,,AGENCY,Agency,"CTrucks2@ebsco.com,psfinancial@ebsco.com",205/999-6600,N/A,India,,N/A,N/A,0,0,0,0
Education Point,,AGENCY,Agency,"bharat.pce@gmail.com,drbharatjainjec@gmail.com","9887231715 , 9351399833",N/A,India,,N/A,N/A,0,0,0,0
Education Services Organisation,,AGENCY,Agency,dskansana@aup.amity.edu,9.56E+19,N/A,India,,N/A,N/A,0,0,0,0
Educational Book & Periodicals,,AGENCY,Agency,"bonnie_dcosta@yahoo.co.in, edubooks.ebp@gmail.com",022-66787511/26674665,N/A,India,,N/A,N/A,0,0,0,0
Educational Research Associates,,AGENCY,Agency,"raj_manimegalai@yahoo.in,educationalresearchassoci",8056004115,N/A,India,,N/A,N/A,0,0,0,0
Everest Periodical Subscription Agency,,AGENCY,Agency,everestch91@gmail.com,9940089068,N/A,India,,N/A,N/A,0,0,0,0
Future Education Service (Books And Journals Distributors),,AGENCY,Agency,futureeducationservice20@gmail.com,8595575964/011-61378565,N/A,India,,N/A,N/A,0,0,0,0
G G Subscription Agency,,AGENCY,Agency,ggbooksp@gmail.com,9969950011 / 9323801571,N/A,India,,N/A,N/A,0,0,0,0
Ga Cube,,AGENCY,Agency,gacube1969@gmail.com,9841494775,N/A,India,,N/A,N/A,0,0,0,0
Garg Brothers Trading & Services Pvt. Ltd.,,AGENCY,Agency,"careinfinitystores@gmail.com, p2shubham@gmail.com,",9956533333,N/A,India,,N/A,N/A,0,0,0,0
Gg Books & Periodicals,,AGENCY,Agency,"info@ggbook.in,info@ggsubscription","09969950011,09323801571,022-65124924,27898515",N/A,India,,N/A,N/A,0,0,0,0
Global Academic Magazines & Journals(Opc) Pvt Ltd,,AGENCY,Agency,subs.global@gmail.com,044-47460965 / 9962583075,N/A,India,,N/A,N/A,0,0,0,0
"Global Books & Periodicals,",,AGENCY,Agency,globalbooks84@yahoo.com,(M)09836631118,N/A,India,,N/A,N/A,0,0,0,0
Global Edutech,,AGENCY,Agency,"raut@nexuspublishing.in, accounts@globaledutech.in, mahesh@nexuspublishing.in, bh@globaledutech.in",8793784905,N/A,India,,N/A,N/A,0,0,0,0
Global Erudite,,AGENCY,Agency,globalerudite@gmail.com,9035004561,N/A,India,,N/A,N/A,0,0,0,0
Global Interactive Malls Pvt. Ltd.,,AGENCY,Agency,amitabh@magazinemall.in,,N/A,India,,N/A,N/A,0,0,0,0
Global Knowledge Agency,,AGENCY,Agency,globalknowledgeagency@gmail.com,9426808830,N/A,India,,N/A,N/A,0,0,0,0
Global Periodicals And Book Agency,,AGENCY,Agency,infogpda@gmail.com,9839137541,N/A,India,,N/A,N/A,0,0,0,0
Global Research Journals,,AGENCY,Agency,globalresearchjournals@yahoo.com,9962623285,N/A,India,,N/A,N/A,0,0,0,0
Globe Books And Periodicals Agency,,AGENCY,Agency,globebooksperiodicalsagency@gmail.com,9391350996,N/A,India,,N/A,N/A,0,0,0,0
Globe Publication Pvt. Ltd.,,AGENCY,Agency,sthakur@globepub.com,11 45055555 Ext. 556,N/A,India,,N/A,N/A,0,0,0,0
Globe Subscription Agency,,AGENCY,Agency,globesubage@gmail.com,040-27567629,N/A,India,,N/A,N/A,0,0,0,0
Good Finds,,AGENCY,Agency,goodfindsmysore@gmail.com,9844678630,N/A,India,Karnataka,N/A,N/A,0,0,0,0
Grd Books,,AGENCY,Agency,grdbooks1@gmail.com,8339832970,N/A,India,,N/A,N/A,0,0,0,0
Green Leaf Publication,,AGENCY,Agency,"info@glp.co.in , glpvns@gmail.com","0542-2400150, +91-9336909185",N/A,India,,N/A,N/A,0,0,0,0
Gtac Solutions Private Limited,,AGENCY,Agency,sales@gtac.in,8433241265,N/A,India,,N/A,N/A,0,0,0,0
Gujarat Industrial Publication,,AGENCY,Agency,hasutraders01@gmail.com,9974146704,N/A,India,,N/A,N/A,0,0,0,0
Higginbothams Private Limited,,AGENCY,Agency,subs@higginbothams.co.in,28521841/28522438,N/A,India,,N/A,N/A,0,0,0,0
Himanshu Book Co.,,AGENCY,Agency,orders@himanshubook.com,"079-26579685,26583782",N/A,India,,N/A,N/A,0,0,0,0
Hindi Book Centre Star Publication Pvt Ltd,,AGENCY,Agency,info@hindibook.com/ info@starpublic.com,23274874,N/A,India,,N/A,N/A,0,0,0,0
Hindustan Subscription Service,,AGENCY,Agency,hindsub@gmail.com,"Ph.: 044-24342219, 9444419936",N/A,India,,N/A,N/A,0,0,0,0
House Of Journals,,AGENCY,Agency,swati@houseofjournals.com,979511113155,N/A,India,,N/A,N/A,0,0,0,0
Ibdc Book Distributors,,AGENCY,Agency,ibdcbookdistributors@gmail.com,0522-4017846/7379444996,N/A,India,,N/A,N/A,0,0,0,0
Ibh Journals Service,,AGENCY,Agency,"journals-delhi@ibhwrold.com,haridas@ibhworld.com",011-23240824,N/A,India,,N/A,N/A,0,0,0,0
Ibh Publications Pvt.Ltd,,AGENCY,Agency,info@ibhpublications.com,022- 2417 2459,N/A,India,,N/A,N/A,0,0,0,0
Ibh Subsrciption Agency(Chennai),,AGENCY,Agency,ibhsachenn@gmail.com,"044-28277532, 28225384",N/A,India,,N/A,N/A,0,0,0,0
Ibs Buku Sdn Bhd,,AGENCY,Agency,journals@ibsbuku.com.my,603-7957 9282,N/A,India,,N/A,N/A,0,0,0,0
India Book House Subscription Agency,,AGENCY,Agency,contact@ibhworld.com,,N/A,India,,N/A,N/A,0,0,0,0
Indra Book Emporium,,AGENCY,Agency,indrabookemp@gmail.com,8126293314,N/A,India,,N/A,N/A,0,0,0,0
Infokart India Pvt Ltd,,AGENCY,Agency,info@infokartindia.in,011-45591010,N/A,India,,N/A,N/A,0,0,0,0
Informatics Publishing Limited,,AGENCY,Agency,latha@informaticsglobal.com,080 - 40387777,N/A,India,Karnataka,N/A,N/A,0,0,0,0
Information Services,,AGENCY,Agency,techinfo@bsnl.in,020-25655326; 9226470849,N/A,India,,N/A,N/A,0,0,0,0
Infotrack Library Solutions,,AGENCY,Agency,info@infotrackls.com,#ERROR!,N/A,India,,N/A,N/A,0,0,0,0
Innovative Subscription Services,,AGENCY,Agency,"rakesh.its@gmail.com,thakur.poonamiss@gmail.com,","91-11-25052216, 25051061",N/A,India,,N/A,N/A,0,0,0,0
Insat Books & Periodicals,,AGENCY,Agency,insatbp@gmail.com,"41562759, 23264151",N/A,India,,N/A,N/A,0,0,0,0
Insight Imc,,AGENCY,Agency,info@insightimc.in,9343721459,N/A,India,,N/A,N/A,0,0,0,0
Insio Scientific Books & Periodicals,,AGENCY,Agency,info@insio.com,8459513124,N/A,India,,N/A,N/A,0,0,0,0
International Book Centre New Delhi,,AGENCY,Agency,ibc.delhi02@gmail.com,011-23255206,N/A,India,,N/A,N/A,0,0,0,0
International Book House Pvt. Ltd.,,AGENCY,Agency,"ibhmag@vsnl.net,ibh@vsnl.com",022-66242222/22021634/1795/9302,N/A,India,,N/A,N/A,0,0,0,0
"International Book House,Cochin",,AGENCY,Agency,koc@ibhbookstore.com / ibh4951koc@yahoo.com,0484 320 8530,N/A,India,,N/A,N/A,0,0,0,0
International Magazine Distributors,,AGENCY,Agency,intls.mag@gmail.com,9867870295/9892415565,N/A,India,,N/A,N/A,0,0,0,0
International Subscription Agency,,AGENCY,Agency,info@isa.in,2789103,N/A,India,,N/A,N/A,0,0,0,0
Ip Books & Subscriptions,,AGENCY,Agency,ipsubscriptions@gmail.com,"09965541751, 09894741751, 0424 - 2222061",N/A,India,,N/A,N/A,0,0,0,0
J.K.Jain Brothers,,AGENCY,Agency,info@jkjainbrothers.com,"0755 423 52 55, 254 25 77,",N/A,India,,N/A,N/A,0,0,0,0
Jain Book Depot,,AGENCY,Agency,jbdrtk@gmail.com,,N/A,India,,N/A,N/A,0,0,0,0
Jainkoch Corporation,,AGENCY,Agency,,033 2283 5830,N/A,India,,N/A,N/A,0,0,0,0
Jay Ambe Book Suppliers,,AGENCY,Agency,nayan.611@gmail.com,(M) 9904771483,N/A,India,,N/A,N/A,0,0,0,0
Jbm Subs Pvt. Ltd.,,AGENCY,Agency,gaurav@jbmsubs.com,9999575300,N/A,India,,N/A,N/A,0,0,0,0
Kajal Book Supply,,AGENCY,Agency,ssco3@yahoo.com,8697956022,N/A,India,,N/A,N/A,0,0,0,0
Kakatiya Publishers And Distributors,,AGENCY,Agency,kakatiyadistributors@gmail.com,9848945849,N/A,India,,N/A,N/A,0,0,0,0
Kalyan Subscription Agency,,AGENCY,Agency,KALYANSUBSCRIPTION@REDIFFMAIL.COM,2512326570,N/A,India,,N/A,N/A,0,0,0,0
Kashyap Book Supplies,,AGENCY,Agency,raintree1406@gmail.com,9449804018,N/A,India,Karnataka,N/A,N/A,0,0,0,0
Kavya Books & Periodicals,,AGENCY,Agency,Kavyabooksandperiodicals@gmail.com,"9873153715, 8851577663",N/A,India,,N/A,N/A,0,0,0,0
Kl Book House,,AGENCY,Agency,"infoklbookhouse@gmail.com, vanitha.klbookhouse@gma",9738210207,N/A,India,,N/A,N/A,0,0,0,0
Knowledge Library Services,,AGENCY,Agency,klsujjain@yahoo.com,9826886398,N/A,India,,N/A,N/A,0,0,0,0
Kothari Medical Subscription Services Pvt Ltd,,AGENCY,Agency,kotharimedsub@gmail.com,"022-24129680, 65023530",N/A,India,,N/A,N/A,0,0,0,0
Krupajala Agency,,AGENCY,Agency,krupajalabooks@gmail.com,6742000000,N/A,India,,N/A,N/A,0,0,0,0
Ktm Foundation / Sreenidhi University,,AGENCY,Agency,satishc@sreenidhi.edu.in,9666922612,N/A,India,,N/A,N/A,0,0,0,0
Labtech Innovations,,AGENCY,Agency,"info@labtechinnovations.com,support@labtechinnovat",P 044 47438636 M 9884518242,N/A,India,,N/A,N/A,0,0,0,0
Lakshmi Periodicals And Books Pvt. Ltd.,,AGENCY,Agency,lpbpl@lpbpl.com,9415424784,N/A,India,,N/A,N/A,0,0,0,0
Landmark The Book Store,,AGENCY,Agency,vijay@indrapublishing.com,8305491775,N/A,India,,N/A,N/A,0,0,0,0
Library Connect,,AGENCY,Agency,souvik@libraryconnect.in,9831023104,N/A,India,,N/A,N/A,0,0,0,0
Library Solutionss Subscription Agency,,AGENCY,Agency,librarysolutions2k@gmail.com,9786191761 / 9786191812,N/A,India,,N/A,N/A,0,0,0,0
Loyal Book Depot,,AGENCY,Agency,loyalbooks@gmail.com,9897203412,N/A,India,,N/A,N/A,0,0,0,0
Luminous Books India,,AGENCY,Agency,luminousbooksindia@gmail.com,8858300000,N/A,India,,N/A,N/A,0,0,0,0
M/S Brij Lal Enterprises,,AGENCY,Agency,brijlal.enterprises@gmail.com,9041830206,N/A,India,,N/A,N/A,0,0,0,0
M/S Krishna Book Distributors,,AGENCY,Agency,krishnabooks@yahoo.com,"011-43580581,09810611914, 09818538037",N/A,India,,N/A,N/A,0,0,0,0
M/S Ramesh Book Depot,,AGENCY,Agency,rbdthebookshop50@gmail.com,9412058873,N/A,India,,N/A,N/A,0,0,0,0
M/S. I N D I A N A,,AGENCY,Agency,indiana_delhi@yahoo.com,9811275696,N/A,India,,N/A,N/A,0,0,0,0
M/S. Krishna Books,,AGENCY,Agency,krishnabooks21@gmail.com,9820021149,N/A,India,,N/A,N/A,0,0,0,0
Mag World,,AGENCY,Agency,magworld_ddn@yahoo.co.in,"0135 2655845, 9897592383",N/A,India,,N/A,N/A,0,0,0,0
Magazine Communications Private Limited,,AGENCY,Agency,info@magazinecommunications.com,91 9266644493 9266644493,N/A,India,,N/A,N/A,0,0,0,0
Magazine Mall Agency,,AGENCY,Agency,,0124-4994999,N/A,India,,N/A,N/A,0,0,0,0
Magazine World,,AGENCY,Agency,magazineworld@gmail.com,02692-244582,N/A,India,,N/A,N/A,0,0,0,0
Mahavir Book House,,AGENCY,Agency,na,2632241364,N/A,India,,N/A,N/A,0,0,0,0
Mahavir Infotech,,AGENCY,Agency,mahavirinfotechrajkot@gmail.com,9925120820,N/A,India,,N/A,N/A,0,0,0,0
Manav Book Shopee,,AGENCY,Agency,,8126190990,N/A,India,,N/A,N/A,0,0,0,0
Maruthi Subscription Services,,AGENCY,Agency,msshyd20@gmail.com,"9133495731, 7013753121",N/A,India,,N/A,N/A,0,0,0,0
Maruthi Subscsriptions Agencies,,AGENCY,Agency,nishaprasad_mkf_rr@yahoo.co.in,9444741713,N/A,India,,N/A,N/A,0,0,0,0
Maya Library Services,,AGENCY,Agency,"info@mayalibraryservices.com,purchase@mayalibrarys","011-45525005,(11)-25083116, 9910935983 , 888245510",N/A,India,,N/A,N/A,0,0,0,0
Medi Tech Books And Journals,,AGENCY,Agency,meditechperiodicals@gmail.com,9198731323,N/A,India,,N/A,N/A,0,0,0,0
Medicare Book House,,AGENCY,Agency,medicare.books@yahoo.com,9874055488,N/A,India,,N/A,N/A,0,0,0,0
Medilink Distributor,,AGENCY,Agency,medilink.distributors@gmail.com,9830401266,N/A,India,,N/A,N/A,0,0,0,0
Meghal Publications,,AGENCY,Agency,"info@meghalpublications.com, singh@meghalpublicati",9967148613/022/24111625/24111626,N/A,India,,N/A,N/A,0,0,0,0
Mehak Book Publishing & Marketing Services,,AGENCY,Agency,mbpmservices@gmail.com,9899357959,N/A,India,,N/A,N/A,0,0,0,0
Mehta Book Sales,,AGENCY,Agency,bookspace06@gmail.com,9422007110,N/A,India,,N/A,N/A,0,0,0,0
Mewar University Press Pvt Ltd,,AGENCY,Agency,deepakbhatt77@gmail.com,"9871352300, 8585955508",N/A,India,,N/A,N/A,0,0,0,0
Mmg International,,AGENCY,Agency,saleslmss8@gmail.com,7428578881,N/A,India,,N/A,N/A,0,0,0,0
Mother India Associates,,AGENCY,Agency,motherindiaassociates@yahoo.com,044-26265758,N/A,India,,N/A,N/A,0,0,0,0
Mr. Kishor Keshwani,,AGENCY,Agency,absinfjp@gmail.com,Mobile 9929017358,N/A,India,,N/A,N/A,0,0,0,0
Mrp Book Distributor,,AGENCY,Agency,mrpbookdistributor@gmail.com/ partha_banerjee@outlook.com,9831351416/ 9007637587,N/A,India,,N/A,N/A,0,0,0,0
Murugan Magazine Distributors Pvt. Ltd.,,AGENCY,Agency,,022-66776777,N/A,India,,N/A,N/A,0,0,0,0
Nambam Book Agency,,AGENCY,Agency,dolendrohpenterprise@gmail.com,7005742916,N/A,India,,N/A,N/A,0,0,0,0
National Book Enterprise,,AGENCY,Agency,nbehyderabad@gmail.com,9160939241,N/A,India,,N/A,N/A,0,0,0,0
National Library,,AGENCY,Agency,nationallibrarygty@gmail.com,9435552631,N/A,India,,N/A,N/A,0,0,0,0
National Press Associates,,AGENCY,Agency,npajournals@gmail.com,"9888934889, +91 7814348014",N/A,India,,N/A,N/A,0,0,0,0
New Academic Subscription Agency,,AGENCY,Agency,subscr.newacademic@gmail.com,9842760644,N/A,India,,N/A,N/A,0,0,0,0
New India Book Agency,,AGENCY,Agency,nibabooks@gmail.com,011-23269432,N/A,India,,N/A,N/A,0,0,0,0
Novel Agency,,AGENCY,Agency,novelagency4@gmail.com,7821812126,N/A,India,,N/A,N/A,0,0,0,0
Om Traders,,AGENCY,Agency,omtraders200@gmail.com,9999896987,N/A,India,,N/A,N/A,0,0,0,0
Online Publications Consultants,,AGENCY,Agency,OPCRegister@gmail.com,91- 9717239241 | 9717239142,N/A,India,,N/A,N/A,0,0,0,0
Oura Prakashan & Book Distributors Pvt Ltd,,AGENCY,Agency,ourapbs@gmail.com,,N/A,India,,N/A,N/A,0,0,0,0
Overseas Publications Services,,AGENCY,Agency,overseaspub@gmail.com,9830089367,N/A,India,,N/A,N/A,0,0,0,0
Owl Books,,AGENCY,Agency,mailowlbooks@gmail.com,9.54E+19,N/A,India,,N/A,N/A,0,0,0,0
Pai Brothers Book Sellers,,AGENCY,Agency,paibrothers@yahoo.com,0478 256 2781,N/A,India,,N/A,N/A,0,0,0,0
Panima Subscription Agency,,AGENCY,Agency,panimasubscriptionagency@gmail.com,011-23264039,N/A,India,,N/A,N/A,0,0,0,0
Paras Book Depot,,AGENCY,Agency,Naharpiyush@gmail.com,094251 52497,N/A,India,,N/A,N/A,0,0,0,0
Patil Medical Book House,,AGENCY,Agency,patilmedicalbookhouse@gmail.com,9890895446,N/A,India,,N/A,N/A,0,0,0,0
Paxcell Energy Inc.,,AGENCY,Agency,victortawo@yahoo.com,832 278 8869,N/A,India,,N/A,N/A,0,0,0,0
Payal Books & Journals Distributors,,AGENCY,Agency,payalbooks2000@gmail.com,9922054704/9423249133,N/A,India,,N/A,N/A,0,0,0,0
Periodicals India,,AGENCY,Agency,periodicalsindia@gmail.com,9810889019,N/A,India,,N/A,N/A,0,0,0,0
Praveen Kumar,,AGENCY,Agency,praveencs10@yahoo.com,9319314466,N/A,India,,N/A,N/A,0,0,0,0
Prime Mag Subscription Services Pvt. Ltd.,,AGENCY,Agency,pms@primemag.net,011-457199102,N/A,India,,N/A,N/A,0,0,0,0
Prints India,,AGENCY,Agency,info@printsjournals.com,011-45355555,N/A,India,,N/A,N/A,0,0,0,0
